attack,level,dt_level,mal_nodes,method,seed,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal
label_flip,L1,D0,5,mean,0,0.5623397827148438,0.35993436754153557,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,mean,1,0.42088091373443604,0.29621125143492344,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,mean,2,0.4325332045555115,0.30193590369264744,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,mean,3,0.5746912360191345,0.3649548616247496,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,mean,4,0.42927056550979614,0.300342409913372,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,median,0,0.5623397827148438,0.35993436754153557,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,median,1,0.42088091373443604,0.29621125143492344,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,median,2,0.5674667954444885,0.3620279512337861,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,median,3,0.5746912360191345,0.3649548616247496,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,median,4,0.42927056550979614,0.300342409913372,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,trimmed_mean,0,0.5623397827148438,0.35993436754153557,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,trimmed_mean,1,0.42088091373443604,0.29621125143492344,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,trimmed_mean,2,0.4325332045555115,0.30193590369264744,0.35022395849227905,0.2593821273064635,
label_flip,L1,D0,5,trimmed_mean,3,0.5746912360191345,0.3649548616247496,0.649776041507721,0.3938571186150674,
label_flip,L1,D0,5,trimmed_mean,4,0.42927056550979614,0.300342409913372,0.35022395849227905,0.2593821273064635,
stealth_amp,,D0,0,weighted,0,0.8112328052520752,0.7750471819002998,0.8123366832733154,0.7727403892433653,0.0
stealth_amp,,D0,0,weighted,1,0.7916569709777832,0.7452773284670187,0.792833149433136,0.744058277481058,0.0
stealth_amp,,D0,0,weighted,2,0.8000466227531433,0.7619285397243212,0.8036580681800842,0.7632747667597135,0.0
stealth_amp,,D0,0,weighted,3,0.7979491949081421,0.7557261396480038,0.8015117645263672,0.7583467445648563,0.0
stealth_amp,,D0,0,weighted,4,0.801677942276001,0.7636080046361489,0.802538275718689,0.7620572207994547,0.0
stealth_amp,,D0,0,mean,0,0.8109997510910034,0.7746187057996119,0.8123366832733154,0.7725685845537483,
stealth_amp,,D0,0,mean,1,0.7911908626556396,0.7445831975883759,0.7929264903068542,0.7440962659685435,
stealth_amp,,D0,0,mean,2,0.8000466227531433,0.7618227008894212,0.8035647869110107,0.7629195740628105,
stealth_amp,,D0,0,mean,3,0.7979491949081421,0.7557261396480038,0.8014184236526489,0.7581169232722615,
stealth_amp,,D0,0,mean,4,0.8019109964370728,0.7638331173259562,0.8020716905593872,0.7613842375702562,
stealth_amp,,D0,0,median,0,0.8082032203674316,0.7713858846246026,0.8122434020042419,0.7728200809728095,
